index,type,type,name,usage(KB),total(KB)
1,  string,string,,1.7,1.7
2,  rawfile,rawfile,scriptdebugger/help.txt,3.1,3.1
3,  rawfile,rawfile,shock/default.shock,2.0,2.0
4,  rawfile,rawfile,shock/hold_breath.shock,2.0,2.0
5,  rawfile,rawfile,shock/pain.shock,2.0,2.0
6,  rawfile,rawfile,shock/victoryscreen.shock,2.0,2.0
7,  rawfile,rawfile,shock/flashbang.shock,2.0,2.0
8,  rawfile,rawfile,shock/dog_bite.shock,2.0,2.0
9,  rawfile,rawfile,shock/chaplincheat.shock,1.9,1.9
10,  rawfile,rawfile,radiant/keys.txt,21.8,21.8
11,  rawfile,rawfile,codescripts/character.gsc,5.0,5.0
12,  rawfile,rawfile,devgui_scriptart.cfg,3.1,3.1
13,  rawfile,rawfile,devgui_main.cfg,5.2,5.2
14,  rawfile,rawfile,devgui_renderer.cfg,7.3,7.3
15,  rawfile,rawfile,default.cfg,1.0,1.0
16,  rawfile,rawfile,avatar_dev.cfg,2.8,2.8
17,  rawfile,rawfile,createfx.cfg,1.2,1.2
18,  rawfile,rawfile,developer.cfg,2.9,2.9
19,  rawfile,rawfile,devgui_aimassist.cfg,2.7,2.7
20,  rawfile,rawfile,devgui_modelpreviewer.cfg,2.9,2.9
21,  rawfile,rawfile,default_splitscreen.cfg,3.4,3.4
22,  rawfile,rawfile,default_systemlink.cfg,3.8,3.8
23,  rawfile,rawfile,default_xboxlive.cfg,3.8,3.8
24,  rawfile,rawfile,robotg.cfg,2.1,2.1
25,  rawfile,rawfile,chad.cfg,1.6,1.6
26,  rawfile,rawfile,jake.cfg,1.0,1.0
27,  rawfile,rawfile,massey.cfg,1.5,1.5
28,  rawfile,rawfile,roger.cfg,1.5,1.5
29,  rawfile,rawfile,ragdoll.cfg,7.8,7.8
30,  rawfile,rawfile,antfarmcodmw1.cfg,1.0,1.0
31,  rawfile,rawfile,antfarmcodmw2.cfg,1.0,1.0
32,  font,font,fonts/smallDevFont,2.3,2.4
33,  font,font,fonts/consoleFont,6.0,6.1
34,  font,font,fonts/bigDevFont,2.3,2.3
35,  font,font,fonts/bigFont,4.5,4.5
36,  font,font,fonts/smallFont,4.5,4.5
37,  font,font,fonts/boldFont,4.5,4.5
38,  font,font,fonts/normalFont,4.5,4.5
39,  font,font,fonts/extraBigFont,4.5,4.5
40,  font,font,fonts/objectiveFont,4.3,4.3
41,  techset,techset,sm2/effect_nofog,1.4,1.4
42,  techset,techset,effect_nofog,1.2,1.2
43,  fx,fx,misc/missing_fx,0.9,1.0
44,  impactfx,impactfx,default,1.5,1.5
45,  techset,techset,sm2/tools,3.9,3.9
46,  techset,techset,tools,3.7,3.7
47,  techset,techset,sm2/depthprepass,1.6,1.6
48,  techset,techset,depthprepass,1.6,1.6
49,  techset,techset,sm2/glow_setup,2.2,2.2
50,  techset,techset,glow_setup,2.2,2.2
51,  techset,techset,sm2/glow_consistent_setup,1.7,1.7
52,  techset,techset,glow_consistent_setup,1.7,1.7
53,  techset,techset,sm2/glow_apply_sky_bleed,1.0,1.0
54,  techset,techset,glow_apply_sky_bleed,1.0,1.0
55,  techset,techset,sm2/filter_symmetric_3,1.1,1.1
56,  techset,techset,filter_symmetric_3,1.1,1.1
57,  techset,techset,sm2/filter_symmetric_4,1.2,1.2
58,  techset,techset,filter_symmetric_4,1.2,1.2
59,  techset,techset,sm2/filter_symmetric_5,1.4,1.4
60,  techset,techset,filter_symmetric_5,1.3,1.3
61,  techset,techset,sm2/filter_symmetric_6,1.6,1.6
62,  techset,techset,filter_symmetric_6,1.4,1.4
63,  techset,techset,sm2/filter_symmetric_7,1.7,1.7
64,  techset,techset,filter_symmetric_7,1.6,1.6
65,  techset,techset,sm2/filter_symmetric_8,1.9,1.9
66,  techset,techset,filter_symmetric_8,1.7,1.7
67,  techset,techset,sm2/postfx_dof,1.4,1.4
68,  techset,techset,postfx_dof,1.2,1.2
69,  techset,techset,sm2/postfx_dof_color,1.6,1.6
70,  techset,techset,postfx_dof_color,1.4,1.4
71,  techset,techset,sm2/dof_downsample,2.2,2.2
72,  techset,techset,dof_downsample,2.2,2.2
73,  techset,techset,sm2/shadowcaster,2.6,2.6
74,  techset,techset,shadowcaster,2.5,2.5
75,  techset,techset,sm2/cinematic,1.1,1.1
76,  techset,techset,cinematic,1.0,1.0
77,    menu,menu,error_popmenu,2.2,2.2
78,    menu,menu,save_corrupted,5.2,5.3
79,    menu,menu,popup_gettingdata,5.5,5.5
80,    menu,menu,error_popmenu_party,5.1,5.1
81,    menu,menu,error_popmenu_lobby,5.0,5.0
82,    menu,menu,popup_reconnectingtoparty,4.9,4.9
83,    menu,menu,acceptinvite_warning,8.3,8.3
84,    menu,menu,pregame_loaderror,2.8,2.8
85,    menu,menu,pregame_loaderror_mp,1.9,1.9
86,    menu,menu,briefing,2.5,2.5
87,    menu,menu,victoryscreen,2.1,2.1
88,    menu,menu,victory_notice_popmenu,4.6,4.6
89,    menu,menu,connect,1.1,1.1
90,  menufile,menufile,ui/code.txt,0.1,51.5
91,  xanim,xanim,void,16.3,16.3
92,  xmodel,xmodel,void,5.1,5.2
93,  rawfile,rawfile,soundaliases/channels.def,1.5,1.5
94,assetlist,assetlist,,14.4,401.0
95,xanim,xanim,(misc),1.7,1.7
96,material,material,(misc),2.4,2.4
97,techset,techset,(misc),31.7,31.7
98,sound,sound,(misc),2.1,2.1
99,localize,localize,(misc),62.2,62.2
100,rawfile,rawfile,(misc),10.4,10.4
