index,type,type,name,usage(KB),total(KB)
1,  string,string,,6.2,6.2
2,  xanim,xanim,sprint1_loop,24.3,24.3
3,  xanim,xanim,crouch_pain_holdstomach,14.5,14.5
4,  xanim,xanim,back_pain,37.8,37.8
5,  xanim,xanim,balcony_tumble_railing44_forward,14.2,14.2
6,  xanim,xanim,balcony_tumble_railing36_forward,13.8,13.8
7,  xanim,xanim,balcony_stumble_forward,8.9,8.9
8,  xanim,xanim,death_explosion_right13,17.3,17.3
9,  xanim,xanim,death_explosion_left11,17.8,17.8
10,  xanim,xanim,death_explosion_forward13,15.2,15.2
11,  xanim,xanim,death_explosion_back13,20.6,20.6
12,  xanim,xanim,death_explosion_up10,19.3,19.3
13,  xanim,xanim,death_run_forward_crumple,16.8,16.8
14,  xanim,xanim,death_run_onleft,13.3,13.3
15,  xanim,xanim,death_run_onfront,14.2,14.2
16,  xanim,xanim,death_stand_dropinplace,23.5,23.5
17,  xanim,xanim,crouch_death_clutchchest,19.1,19.1
18,  xanim,xanim,prone_death_quickdeath,8.7,8.7
19,  xanim,xanim,casualcornera_idle_left,7.6,7.6
20,  xanim,xanim,corner_left_crouch_look2alert,4.0,4.0
21,  xanim,xanim,corner_left_crouch_alertlookidle,3.5,3.5
22,  xanim,xanim,corner_left_crouch_alert2look,4.0,4.0
23,  xanim,xanim,corner_left_crouch_behind2left,11.0,11.0
24,  xanim,xanim,corner_left_crouch_left2behind,6.4,6.4
25,  xanim,xanim,corner_left_crouch_right2straight,6.0,6.0
26,  xanim,xanim,corner_left_crouch_straight2right,2.5,2.5
27,  xanim,xanim,corner_left_crouch_straight2left,1.4,1.4
28,  xanim,xanim,corner_left_crouch_left2straight,2.4,2.4
29,  xanim,xanim,corner_left_crouch_aimbehind2alert,17.3,17.3
30,  xanim,xanim,corner_left_crouch_alert2aimbehind,1.4,1.4
31,  xanim,xanim,corner_left_crouch_aimright2alert,14.5,14.5
32,  xanim,xanim,corner_left_crouch_alert2aimright,8.6,8.6
33,  xanim,xanim,corner_left_crouch_alert2aimleft,9.9,9.9
34,  xanim,xanim,corner_left_crouch_aimstraight2alert,11.5,11.5
35,  xanim,xanim,corner_left_crouch_alert2aimstraight,14.3,14.3
36,  xanim,xanim,corner_left_stand_alertlookidle,9.1,9.1
37,  xanim,xanim,corner_left_stand_look2alert,7.1,7.1
38,  xanim,xanim,corner_left_stand_alert2look,8.1,8.1
39,  xanim,xanim,corner_left_stand_behind2left,4.4,4.4
40,  xanim,xanim,corner_left_stand_left2behind,1.3,1.3
41,  xanim,xanim,corner_left_stand_right2straight,1.5,1.5
42,  xanim,xanim,corner_left_stand_straight2right,2.9,2.9
43,  xanim,xanim,corner_left_stand_straight2left,3.4,3.4
44,  xanim,xanim,corner_left_stand_left2straight,4.8,4.8
45,  xanim,xanim,corner_left_stand_alert2aimstraight,12.0,12.0
