index,type,type,name,usage(KB),total(KB)
1,  string,string,,11.3,11.3
2,  xanim,xanim,pl_crouchturn_90left,5.0,5.0
3,  xanim,xanim,pl_crouchturn_90right,5.1,5.1
4,  xanim,xanim,pb_crouch_pain_holdstomach,14.2,14.2
5,  xanim,xanim,pb_prone_painb_holdhead,22.9,22.9
6,  xanim,xanim,pb_prone_paina_holdchest,31.7,31.7
7,  xanim,xanim,pb_stumble_grenade_back,8.4,8.4
8,  xanim,xanim,pb_stumble_grenade_forward,10.3,10.3
9,  xanim,xanim,pb_stumble_grenade_left,10.4,10.4
10,  xanim,xanim,pb_stumble_grenade_right,10.4,10.4
11,  xanim,xanim,pb_stumble_pistol_back,7.9,7.9
12,  xanim,xanim,pb_stumble_pistol_forward,10.0,10.0
13,  xanim,xanim,pb_stumble_pistol_left,10.0,10.0
14,  xanim,xanim,pb_stumble_pistol_right,10.0,10.0
15,  xanim,xanim,pb_stumble_pistol_walk_back,9.8,9.8
16,  xanim,xanim,pb_stumble_pistol_walk_forward,9.6,9.6
17,  xanim,xanim,pb_stumble_pistol_walk_left,9.7,9.7
18,  xanim,xanim,pb_stumble_pistol_walk_right,10.1,10.1
19,  xanim,xanim,pb_stumble_walk_right,10.0,10.0
20,  xanim,xanim,pb_stumble_walk_left,9.5,9.5
21,  xanim,xanim,pb_stumble_walk_back,9.6,9.6
22,  xanim,xanim,pb_stumble_walk_forward,9.1,9.1
23,  xanim,xanim,pb_stumble_right,7.6,7.6
24,  xanim,xanim,pb_stumble_left,7.6,7.6
25,  xanim,xanim,pb_stumble_back,7.2,7.2
26,  xanim,xanim,pb_stumble_forward,7.7,7.7
27,  xanim,xanim,pb_death_run_right,28.1,28.1
28,  xanim,xanim,pb_death_run_left,26.8,26.8
29,  xanim,xanim,pb_death_run_back,28.6,28.6
30,  xanim,xanim,pb_death_run_stumble,24.5,24.5
31,  xanim,xanim,pb_death_run_onfront,24.5,24.5
32,  xanim,xanim,pb_death_run_forward_crumple,32.3,32.3
33,  xanim,xanim,pb_stand_death_headchest_topple,29.5,29.5
34,  xanim,xanim,pb_stand_death_frontspin,27.0,27.0
35,  xanim,xanim,pb_stand_death_nervedeath,24.6,24.6
36,  xanim,xanim,pb_stand_death_neckdeath,20.0,20.0
37,  xanim,xanim,pb_stand_death_neckdeath_thrash,28.6,28.6
38,  xanim,xanim,pb_stand_death_head_collapse,28.6,28.6
39,  xanim,xanim,pb_stand_death_lowerback,20.7,20.7
40,  xanim,xanim,pb_stand_death_legs,39.5,39.5
41,  xanim,xanim,pb_crouchrun_death_crumple,32.3,32.3
42,  xanim,xanim,pb_crouchrun_death_drop,24.5,24.5
43,  xanim,xanim,pb_crouch_death_falltohands,30.2,30.2
44,  xanim,xanim,pb_crouch_death_fetal,24.4,24.4
45,  xanim,xanim,pb_crouch_death_flip,30.2,30.2
46,  xanim,xanim,pb_crouch_death_clutchchest,30.2,30.2
47,  xanim,xanim,pb_crouch_death_headshot_front,30.2,30.2
48,  xanim,xanim,pb_prone_death_quickdeath,8.6,8.6
49,  xanim,xanim,pb_standmg42gunner_aim_45right_15up,1.8,1.8
50,  xanim,xanim,pb_standmg42gunner_aim_30right_15up,1.7,1.7
51,  xanim,xanim,pb_standmg42gunner_aim_15right_15up,1.8,1.8
52,  xanim,xanim,pb_standmg42gunner_aim_forward_15up,1.8,1.8
53,  xanim,xanim,pb_standmg42gunner_aim_15left_15up,1.8,1.8
54,  xanim,xanim,pb_standmg42gunner_aim_30left_15up,1.7,1.7
55,  xanim,xanim,pb_standmg42gunner_aim_45left_15up,1.8,1.8
56,  xanim,xanim,pb_standmg42gunner_aim_45right_level,1.8,1.8
57,  xanim,xanim,pb_standmg42gunner_aim_30right_level,1.8,1.8
58,  xanim,xanim,pb_standmg42gunner_aim_15right_level,1.8,1.8
59,  xanim,xanim,pb_standmg42gunner_aim_forward_level,1.3,1.3
60,  xanim,xanim,pb_standmg42gunner_aim_15left_level,1.8,1.8
61,  xanim,xanim,pb_standmg42gunner_aim_30left_level,1.8,1.8
62,  xanim,xanim,pb_standmg42gunner_aim_45left_level,1.8,1.8
63,  xanim,xanim,pb_standmg42gunner_aim_45right_15down,1.8,1.8
64,  xanim,xanim,pb_standmg42gunner_aim_30right_15down,1.8,1.8
