index,zone,type,type,name,usage(KB),total(KB)
1,code_post_gfx_mp,  string,string,,2.7,2.7
2,code_post_gfx_mp,  techset,techset,sm2/default,1.3,1.3
3,code_post_gfx_mp,  techset,techset,default,1.1,1.1
4,code_post_gfx_mp,  rawfile,rawfile,codescripts/character.gsc,4.7,4.7
5,code_post_gfx_mp,  rawfile,rawfile,radiant/keys.txt,21.6,21.6
6,code_post_gfx_mp,  rawfile,rawfile,scriptdebugger/help.txt,3.1,3.1
7,code_post_gfx_mp,  rawfile,rawfile,shock/default.shock,1.9,1.9
8,code_post_gfx_mp,  rawfile,rawfile,shock/hold_breath.shock,1.9,1.9
9,code_post_gfx_mp,  rawfile,rawfile,shock/pain.shock,1.9,1.9
10,code_post_gfx_mp,  rawfile,rawfile,shock/victoryscreen.shock,1.9,1.9
11,code_post_gfx_mp,  rawfile,rawfile,shock/flashbang.shock,2.0,2.0
12,code_post_gfx_mp,  rawfile,rawfile,shock/damage_mp.shock,1.9,1.9
13,code_post_gfx_mp,  rawfile,rawfile,devgui_aimassist.cfg,2.7,2.7
14,code_post_gfx_mp,  rawfile,rawfile,devgui_main.cfg,5.1,5.1
15,code_post_gfx_mp,  rawfile,rawfile,devgui_modelpreviewer.cfg,2.9,2.9
16,code_post_gfx_mp,  rawfile,rawfile,devgui_renderer.cfg,7.3,7.3
17,code_post_gfx_mp,  rawfile,rawfile,devgui_scriptart.cfg,3.1,3.1
18,code_post_gfx_mp,  sound,sound,match_countdown_tick,2.9,2.9
19,code_post_gfx_mp,  sound,sound,mouse_click,31.9,31.9
20,code_post_gfx_mp,  sound,sound,mouse_over,5.2,5.2
21,code_post_gfx_mp,  sound,sound,mouse_submenu_over,2.3,2.3
22,code_post_gfx_mp,  sound,sound,mp_experience_tick,86.6,86.6
23,code_post_gfx_mp,  sound,sound,mp_player_join,156.3,156.3
24,code_post_gfx_mp,  sound,sound,mp_player_leave,110.4,110.4
25,code_post_gfx_mp,  sound,sound,null,21.7,21.7
