index,type,type,name,usage(KB),total(KB)
1,  rawfile,rawfile,mp/cod2maps.arena,1.7,1.7
2,    menu,menu,main,3.2,3.5
3,    menu,menu,main_text,37.4,37.4
4,    menu,menu,pc_cac_popup,18.1,18.1
5,    menu,menu,join_game_popup,6.3,6.3
6,    menu,menu,single_popmenu,6.8,6.8
7,    menu,menu,main_controls,23.7,23.7
8,    menu,menu,main_options,35.8,35.8
9,    menu,menu,options_voice,39.6,39.7
10,    menu,menu,options_multi,48.0,48.0
11,    menu,menu,controls_multi,41.6,41.6
12,    menu,menu,mods_menu,5.5,5.5
13,    menu,menu,vid_restart_popmenu_listen,4.4,4.4
14,    menu,menu,vid_restart_popmenu,6.7,6.7
15,    menu,menu,snd_restart_popmenu,6.7,6.7
16,    menu,menu,options_look,54.4,54.4
17,    menu,menu,options_move,60.6,60.6
18,    menu,menu,options_shoot,66.8,66.8
19,    menu,menu,options_misc,32.6,32.6
20,    menu,menu,options_graphics,67.9,67.9
21,    menu,menu,options_graphics_texture,52.9,52.9
22,    menu,menu,apply_picmip_popmenu,2.3,2.3
23,    menu,menu,options_game,48.5,48.5
24,    menu,menu,options_sound,40.7,40.7
25,    menu,menu,options_control_defaults,28.0,28.0
26,    menu,menu,options_graphics_defaults,38.0,38.0
27,    menu,menu,menu_cac_assault,160.6,160.8
28,    menu,menu,assault_popup_cac_primary,16.7,16.7
29,    menu,menu,assault_popup_cac_primary2,16.4,16.4
30,    menu,menu,assault_popup_cac_assault,119.3,119.3
31,    menu,menu,assault_popup_cac_lmg,56.7,56.7
32,    menu,menu,assault_popup_cac_smg,87.9,87.9
33,    menu,menu,assault_popup_cac_shotgun,41.3,41.3
34,    menu,menu,assault_popup_cac_sniper,88.0,88.0
35,    menu,menu,assault_popup_cac_assault2,112.2,112.2
36,    menu,menu,assault_popup_cac_lmg2,54.8,54.8
37,    menu,menu,assault_popup_cac_smg2,84.8,84.8
38,    menu,menu,assault_popup_cac_shotgun2,39.9,39.9
39,    menu,menu,assault_popup_cac_sniper2,84.8,84.8
40,    menu,menu,assault_attachment_popup_fake,11.3,11.3
41,    menu,menu,assault_attachment_popup_pistol,45.4,45.4
42,    menu,menu,assault_attachment_popup_assault,96.2,96.2
43,    menu,menu,assault_attachment_popup_lmg,69.7,69.7
44,    menu,menu,assault_attachment_popup_smg,67.0,67.0
45,    menu,menu,assault_attachment_popup_shotgun,52.7,52.7
46,    menu,menu,assault_attachment_popup_sniper,38.8,38.8
47,    menu,menu,assault_attachment_popup_assault2,89.2,89.2
48,    menu,menu,assault_attachment_popup_lmg2,68.8,68.8
49,    menu,menu,assault_attachment_popup_smg2,67.0,67.0
50,    menu,menu,assault_attachment_popup_shotgun2,52.7,52.7
51,    menu,menu,assault_attachment_popup_sniper2,38.5,38.5
52,    menu,menu,assault_popup_cac_secondary,105.1,105.1
53,    menu,menu,assault_popup_cac_camo,112.2,112.2
54,    menu,menu,assault_popup_cac_camo2,98.7,98.7
55,    menu,menu,assault_popup_cac_extra,33.2,33.2
56,    menu,menu,assault_popup_cac_perk1,92.0,92.0
57,    menu,menu,assault_popup_cac_perk2,108.9,108.9
58,    menu,menu,assault_popup_cac_perk3,104.3,104.3
59,    menu,menu,assault_popup_cac_template,13.7,13.7
60,    menu,menu,assault_popup_cac_defaultclasswarning_assault,7.8,7.8
61,    menu,menu,assault_popup_cac_defaultclasswarning_spec_ops,7.7,7.7
62,    menu,menu,assault_popup_cac_defaultclasswarning_heavy_gunner,7.7,7.7
63,    menu,menu,assault_popup_cac_defaultclasswarning_demolitions,7.7,7.7
64,    menu,menu,assault_popup_cac_defaultclasswarning_sniper,7.7,7.7
65,    menu,menu,assault_pc_rename,4.8,4.8
66,    menu,menu,saving_popup,2.3,2.3
67,    menu,menu,menu_cac_demolitions,159.8,159.8
68,    menu,menu,demolitions_popup_cac_primary,16.5,16.5
69,    menu,menu,demolitions_popup_cac_primary2,16.5,16.5
70,    menu,menu,demolitions_popup_cac_assault,115.2,115.2
71,    menu,menu,demolitions_popup_cac_lmg,54.9,54.9
72,    menu,menu,demolitions_popup_cac_smg,84.9,84.9
73,    menu,menu,demolitions_popup_cac_shotgun,40.0,40.0
74,    menu,menu,demolitions_popup_cac_sniper,85.0,85.0
75,    menu,menu,demolitions_popup_cac_assault2,112.5,112.5
76,    menu,menu,demolitions_popup_cac_lmg2,55.0,55.0
77,    menu,menu,demolitions_popup_cac_smg2,85.0,85.0
78,    menu,menu,demolitions_popup_cac_shotgun2,40.0,40.0
79,    menu,menu,demolitions_popup_cac_sniper2,85.0,85.0
80,    menu,menu,demolitions_attachment_popup_fake,11.3,11.3
81,    menu,menu,demolitions_attachment_popup_pistol,44.6,44.6
82,    menu,menu,demolitions_attachment_popup_assault,95.2,95.2
83,    menu,menu,demolitions_attachment_popup_lmg,68.8,68.8
84,    menu,menu,demolitions_attachment_popup_smg,67.0,67.0
85,    menu,menu,demolitions_attachment_popup_shotgun,52.7,52.7
86,    menu,menu,demolitions_attachment_popup_sniper,38.5,38.5
87,    menu,menu,demolitions_attachment_popup_assault2,89.1,89.1
88,    menu,menu,demolitions_attachment_popup_lmg2,68.8,68.8
89,    menu,menu,demolitions_attachment_popup_smg2,67.0,67.0
90,    menu,menu,demolitions_attachment_popup_shotgun2,52.7,52.7
91,    menu,menu,demolitions_attachment_popup_sniper2,38.5,38.5
92,    menu,menu,demolitions_popup_cac_secondary,103.1,103.1
93,    menu,menu,demolitions_popup_cac_camo,110.5,110.5
94,    menu,menu,demolitions_popup_cac_camo2,98.7,98.7
95,    menu,menu,demolitions_popup_cac_extra,32.5,32.5
96,    menu,menu,demolitions_popup_cac_perk1,88.3,88.3
97,    menu,menu,demolitions_popup_cac_perk2,105.0,105.0
98,    menu,menu,demolitions_popup_cac_perk3,99.8,99.8
99,    menu,menu,demolitions_popup_cac_template,13.6,13.6
100,    menu,menu,demolitions_popup_cac_defaultclasswarning_assault,7.7,7.7
101,    menu,menu,demolitions_popup_cac_defaultclasswarning_spec_ops,7.7,7.7
102,    menu,menu,demolitions_popup_cac_defaultclasswarning_heavy_gunner,7.7,7.7
103,    menu,menu,demolitions_popup_cac_defaultclasswarning_demolitions,7.7,7.7
